y,time,total_20,male_20,female_20
2.8,2012.1,6.9,7.7,6.1
2.8,2012.11,6.7,8,5.4
2.9,2012.12,7.2,9,5.5
3.4,2013.01,7.3,8.4,6.3
3.9,2013.02,9,10,8
3.5,2013.03,8.5,9.3,7.8
3.2,2013.04,8.1,8.6,7.6
3,2013.05,7.2,8,6.5
3.1,2013.06,7.7,9.2,6.3
3.1,2013.07,7.7,9.7,5.8
3,2013.08,7.5,8.8,6.3
2.7,2013.09,7.8,8.5,7.1
2.7,2013.1,7.8,9,6.7
2.6,2013.11,7.5,8.5,6.5
3,2013.12,8,9.5,6.7
3.4,2014.01,8,9.4,6.6
4.5,2014.02,10.9,12.2,9.6
3.9,2014.03,10,11.8,8.4
3.8,2014.04,10.1,12.4,8
3.5,2014.05,8.9,10.3,7.6
3.5,2014.06,9.6,10.9,8.3
3.4,2014.07,8.7,10,7.5
3.3,2014.08,8.5,9.8,7.2
3.1,2014.09,8.6,10.9,6.4
3.2,2014.1,8.1,9.2,7.1
3,2014.11,8,9.5,6.5
3.3,2014.12,8.7,9.6,7.8
3.7,2015.01,9,10.8,7.3
4.5,2015.02,11,12.1,9.9
4,2015.03,10.6,12.6,8.8
3.9,2015.04,10.2,11.7,8.9
3.7,2015.05,9.4,10.8,8.1
3.8,2015.06,9.8,11.5,8.2
3.6,2015.07,8.9,10.2,7.6
3.4,2015.08,7.8,9.1,6.5
3.2,2015.09,7.9,9.5,6.4
3.1,2015.1,7.4,8.6,6.3
3,2015.11,8.2,10.1,6.4
3.2,2015.12,8.3,9.7,6.9
3.7,2016.01,9.4,10.5,8.4
4.9,2016.02,12.4,13.6,11.3
4.2,2016.03,11.6,13.3,10
3.9,2016.04,10.9,11.5,10.4
3.6,2016.05,9.7,10.8,8.6
3.6,2016.06,10.4,11.7,9.1
3.5,2016.07,9.3,10.8,7.9
3.6,2016.08,9.4,11,7.9
3.5,2016.09,9.5,10.6,8.5
3.3,2016.1,8.5,9.1,7.9
3.1,2016.11,8.1,9.1,7.3
3.2,2016.12,8.4,9.2,7.6
3.7,2017.01,8.5,9.7,7.4
4.9,2017.02,12.4,14,10.9
4.1,2017.03,11.3,12.8,9.8
4.2,2017.04,11.3,13.2,9.4
3.6,2017.05,9.5,11.3,7.8
3.8,2017.06,10.5,11.9,9.2
3.4,2017.07,9.2,11,7.4
3.6,2017.08,9.4,11.1,7.8
3.3,2017.09,9.3,11.6,7.2
3.2,2017.1,8.7,10.4,7.1
3.1,2017.11,9.4,10.9,7.9
3.3,2017.12,9.3,10.4,8.2
3.7,2018.01,8.6,9,8.1
4.6,2018.02,9.6,9.8,9.5
4.5,2018.03,11.6,12.7,10.6
4.1,2018.04,10.7,11.8,9.7
4,2018.05,10.6,11.7,9.6
3.7,2018.06,9.1,10.6,7.8
3.7,2018.07,9.2,10.3,8.2
4,2018.08,9.9,11.5,8.4
3.6,2018.09,9,9.5,8.4
3.5,2018.1,8.5,9.1,8
3.2,2018.11,8.1,8.7,7.5
3.4,2018.12,8.6,10,7.2
4.5,2019.01,8.7,10.2,7.3
4.7,2019.02,9.3,10.1,8.6
4.3,2019.03,10.9,12.3,9.4
4.4,2019.04,11.7,12.9,10.4
4,2019.05,10.1,10.8,9.5
4,2019.06,10.5,11.1,9.9
3.9,2019.07,9.7,9.6,9.8
3,2019.08,7.1,7.7,6.6
3.1,2019.09,7.4,8.1,6.7
3,2019.1,7.3,7.5,7.1
3.1,2019.11,7.1,7.7,6.5
