date,close
2023.4.13,66100
2023.4.14,65100
2023.4.17,65300
2023.4.18,65600
2023.4.19,65500
2023.4.20,65300
2023.4.21,65700
2023.4.24,65200
2023.4.25,63600
2023.4.26,64100
2023.4.27,64600
2023.4.28,65500
2023.5.2,65700
2023.5.3,65400
2023.5.4,65100
2023.5.8,65900
2023.5.9,65300
2023.5.10,64600
2023.5.11,64200
2023.5.12,64100
2023.5.15,64500
2023.5.16,65400
2023.5.17,65000
2023.5.18,66200
2023.5.19,68400
2023.5.22,68500
2023.5.23,68400
2023.5.24,68500
2023.5.25,68800
2023.5.26,70300
2023.5.30,72300
2023.5.31,71400
2023.6.1,70900
2023.6.2,72200
2023.6.5,71700
2023.6.7,71000
2023.6.8,70900
2023.6.9,72000
2023.6.12,71000
2023.6.13,72000
2023.6.14,71900
2023.6.15,71500
2023.6.16,71800
2023.6.19,71200
2023.6.20,71400
2023.6.21,70500
2023.6.22,71300
2023.6.23,71600
2023.6.26,72400
2023.6.27,72600
2023.6.28,72700
2023.6.29,72400
2023.6.30,72200
2023.7.3,73000
2023.7.4,73000
2023.7.5,72000
2023.7.6,71600
2023.7.7,69900
2023.7.10,69500
2023.7.11,71500
2023.7.12,71900
2023.7.13,71900
2023.7.14,73400
2023.7.17,73300
2023.7.18,72000
2023.7.19,71700
2023.7.20,71000
2023.7.21,70300
2023.7.24,70400
2023.7.25,70000
2023.7.26,69800
2023.7.27,71700
2023.7.28,70600
2023.7.31,69800
2023.8.1,71100
2023.8.2,69900
2023.8.3,68800
2023.8.4,68300
2023.8.7,68500
2023.8.8,67600
2023.8.9,68900
2023.8.10,68000
2023.8.11,67500
2023.8.14,67300
2023.8.16,67000
2023.8.17,66700
2023.8.18,66300
2023.8.21,66600
2023.8.22,66600
2023.8.23,67100
2023.8.24,68200
2023.8.25,67100
2023.8.28,66800
2023.8.29,66800
2023.8.30,67100
2023.8.31,66900
2023.9.1,71000
2023.9.4,71200
2023.9.5,70700
2023.9.6,70000
